Date1,State,beds_icu_covid,icu_covid,icu_usage,vent_covid,vent,vent_usage,Date
2021-08-25,Sabah,130,184,141.54,67,118,56.78,
2021-08-25,Sarawak,120,62,51.67,16,148,10.81,
2021-08-25,Selangor,350,341,97.43,190,443,42.89,
2021-08-25,Terengganu,39,29,74.36,17,58,29.31,
2021-08-25,W.P. Kuala Lumpur,220,220,100,156,224,69.64,
2021-08-25,W.P. Labuan,18,0,0,0,11,0,
2021-08-25,W.P. Putrajaya,20,20,100,15,36,41.67,
2021-08-26,Johor,108,113,104.63,98,174,56.32,
2021-08-26,Kedah,115,139,120.87,61,103,59.22,
2021-08-26,Kelantan,64,70,109.38,37,122,30.33,
2021-08-26,Melaka,96,72,75,27,67,40.3,
2021-08-26,Negeri Sembilan,88,34,38.64,17,75,22.67,
2021-08-26,Pahang,61,42,68.85,23,58,39.66,
2021-08-26,Perak,90,97,107.78,61,103,59.22,
2021-08-26,Perlis,11,10,90.91,5,19,26.32,
2021-08-26,Pulau Pinang,69,68,98.55,58,72,80.56,
2021-08-26,Sabah,130,178,136.92,67,118,56.78,
2021-08-26,Sarawak,120,70,58.33,21,148,14.19,
2021-08-26,Selangor,350,335,95.71,192,443,43.34,
2021-08-26,Terengganu,39,25,64.1,17,58,29.31,
2021-08-26,W.P. Kuala Lumpur,220,217,98.64,157,207,75.85,
2021-08-26,W.P. Labuan,18,0,0,0,11,0,
2021-08-26,W.P. Putrajaya,20,17,85,14,36,38.89,
2021-08-27,Johor,108,107,99.07,87,174,50,
2021-08-27,Kedah,115,126,109.57,54,103,52.43,
2021-08-27,Kelantan,64,73,114.06,37,122,30.33,
2021-08-27,Melaka,96,71,73.96,28,67,41.79,
2021-08-27,Negeri Sembilan,88,35,39.77,17,75,22.67,
2021-08-27,Pahang,61,41,67.21,22,58,37.93,
2021-08-27,Perak,90,94,104.44,67,103,65.05,
2021-08-27,Perlis,11,10,90.91,0,19,0,
2021-08-27,Pulau Pinang,69,69,100,51,72,70.83,
2021-08-27,Sabah,143,144,100.7,64,120,53.33,
2021-08-27,Sarawak,120,72,60,18,148,12.16,
2021-08-27,Selangor,350,334,95.43,177,443,39.95,
2021-08-27,Terengganu,39,26,66.67,20,58,34.48,
2021-08-27,W.P. Kuala Lumpur,228,199,87.28,146,218,66.97,
2021-08-27,W.P. Labuan,18,0,0,0,11,0,
2021-08-27,W.P. Putrajaya,20,17,85,14,36,38.89,
2021-08-28,Johor,108,110,101.85,92,174,52.87,
2021-08-28,Kedah,105,120,114.29,46,103,44.66,
2021-08-28,Kelantan,64,79,123.44,44,122,36.07,
2021-08-28,Melaka,96,92,95.83,22,67,32.84,
2021-08-28,Negeri Sembilan,88,35,39.77,28,75,37.33,
2021-08-28,Pahang,61,42,68.85,23,58,39.66,
2021-08-28,Perak,90,99,110,65,103,63.11,
2021-08-28,Perlis,11,9,81.82,4,19,21.05,
2021-08-28,Pulau Pinang,69,66,95.65,50,72,69.44,
2021-08-28,Sabah,145,168,115.86,61,120,50.83,
2021-08-28,Sarawak,120,76,63.33,21,148,14.19,
2021-08-28,Selangor,350,330,94.29,182,443,41.08,
2021-08-28,Terengganu,39,27,69.23,25,58,43.1,
2021-08-28,W.P. Kuala Lumpur,228,194,85.09,150,218,68.81,
2021-08-28,W.P. Labuan,18,0,0,0,11,0,
2021-08-28,W.P. Putrajaya,20,17,85,12,36,33.33,
2021-08-29,Johor,108,109,100.93,90,174,51.72,
2021-08-29,Kedah,105,124,118.1,62,103,60.19,
2021-08-29,Kelantan,64,71,110.94,32,122,26.23,
2021-08-29,Melaka,96,73,76.04,22,67,32.84,
2021-08-29,Negeri Sembilan,88,37,42.05,25,75,33.33,
2021-08-29,Pahang,61,42,68.85,22,58,37.93,
2021-08-29,Perak,90,101,112.22,67,103,65.05,
2021-08-29,Perlis,11,9,81.82,4,19,21.05,
2021-08-29,Pulau Pinang,69,69,100,56,72,77.78,
2021-08-29,Sabah,145,167,115.17,58,120,48.33,
2021-08-29,Sarawak,120,65,54.17,16,148,10.81,
2021-08-29,Selangor,350,324,92.57,164,443,37.02,
2021-08-29,Terengganu,39,30,76.92,24,58,41.38,
2021-08-29,W.P. Kuala Lumpur,228,182,79.82,145,218,66.51,
2021-08-29,W.P. Labuan,18,0,0,0,11,0,
2021-08-29,W.P. Putrajaya,20,17,85,12,36,33.33,
2021-08-30,Johor,108,103,95.37,83,174,47.7,
2021-08-30,Kedah,105,125,119.05,59,103,57.28,
2021-08-30,Kelantan,77,76,98.7,50,122,40.98,
2021-08-30,Melaka,92,84,91.3,22,78,28.21,
2021-08-30,Negeri Sembilan,88,32,36.36,20,75,26.67,
2021-08-30,Pahang,61,42,68.85,25,58,43.1,
2021-08-30,Perak,90,96,106.67,68,104,65.38,
2021-08-30,Perlis,11,10,90.91,6,19,31.58,
2021-08-30,Pulau Pinang,69,68,98.55,54,72,75,
2021-08-30,Sabah,145,168,115.86,65,120,54.17,
2021-08-30,Sarawak,120,61,50.83,20,148,13.51,
2021-08-30,Selangor,350,317,90.57,169,443,38.15,
2021-08-30,Terengganu,39,31,79.49,27,58,46.55,
2021-08-30,W.P. Kuala Lumpur,228,171,75,125,218,57.34,
2021-08-30,W.P. Labuan,18,0,0,0,11,0,
2021-08-30,W.P. Putrajaya,20,18,90,14,36,38.89,
2021-08-31,Johor,108,103,95.37,84,174,48.28,
2021-08-31,Kedah,104,117,112.5,51,103,49.51,
2021-08-31,Kelantan,77,73,94.81,35,122,28.69,
2021-08-31,Melaka,92,75,81.52,25,78,32.05,
2021-08-31,Negeri Sembilan,88,33,37.5,25,68,36.76,
